Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
,Afghanistan,33,65,15-05-2020,6053,AFG,142,34,
,Afghanistan,33,65,14-05-2020,5639,AFG,142,34,
,Afghanistan,33,65,13-05-2020,5226,AFG,142,34,
,Afghanistan,33,65,12-05-2020,4963,AFG,142,34,
,Afghanistan,33,65,11-05-2020,4687,AFG,142,34,
,Afghanistan,33,65,10-05-2020,4402,AFG,142,34,
,Afghanistan,33,65,09-05-2020,4033,AFG,142,34,
,Afghanistan,33,65,08-05-2020,3778,AFG,142,34,
,Afghanistan,33,65,07-05-2020,3563,AFG,142,34,
,Afghanistan,33,65,06-05-2020,3392,AFG,142,34,
,Afghanistan,33,65,05-05-2020,3224,AFG,142,34,
,Afghanistan,33,65,04-05-2020,2894,AFG,142,34,
,Afghanistan,33,65,03-05-2020,2704,AFG,142,34,
,Afghanistan,33,65,02-05-2020,2469,AFG,142,34,
,Afghanistan,33,65,01-05-2020,2335,AFG,142,34,
,Afghanistan,33,65,30-04-2020,2171,AFG,142,34,
,Afghanistan,33,65,29-04-2020,1939,AFG,142,34,
,Afghanistan,33,65,28-04-2020,1828,AFG,142,34,
,Afghanistan,33,65,27-04-2020,1703,AFG,142,34,
,Afghanistan,33,65,26-04-2020,1531,AFG,142,34,
,Afghanistan,33,65,25-04-2020,1463,AFG,142,34,
,Afghanistan,33,65,24-04-2020,1351,AFG,142,34,
,Afghanistan,33,65,23-04-2020,1279,AFG,142,34,
,Afghanistan,33,65,22-04-2020,1176,AFG,142,34,
,Afghanistan,33,65,21-04-2020,1092,AFG,142,34,
,Afghanistan,33,65,20-04-2020,1026,AFG,142,34,
,Afghanistan,33,65,19-04-2020,996,AFG,142,34,
,Afghanistan,33,65,18-04-2020,933,AFG,142,34,
,Afghanistan,33,65,17-04-2020,906,AFG,142,34,
,Afghanistan,33,65,16-04-2020,840,AFG,142,34,
,Afghanistan,33,65,15-04-2020,784,AFG,142,34,
,Afghanistan,33,65,14-04-2020,714,AFG,142,34,
,Afghanistan,33,65,13-04-2020,665,AFG,142,34,
,Afghanistan,33,65,12-04-2020,607,AFG,142,34,
,Afghanistan,33,65,11-04-2020,555,AFG,142,34,
,Afghanistan,33,65,10-04-2020,521,AFG,142,34,
,Afghanistan,33,65,09-04-2020,484,AFG,142,34,
,Afghanistan,33,65,08-04-2020,444,AFG,142,34,
,Afghanistan,33,65,07-04-2020,423,AFG,142,34,
,Afghanistan,33,65,06-04-2020,367,AFG,142,34,
,Afghanistan,33,65,05-04-2020,349,AFG,142,34,
,Afghanistan,33,65,04-04-2020,299,AFG,142,34,
,Afghanistan,33,65,03-04-2020,281,AFG,142,34,
,Afghanistan,33,65,02-04-2020,273,AFG,142,34,
,Afghanistan,33,65,01-04-2020,237,AFG,142,34,
,Afghanistan,33,65,31-03-2020,174,AFG,142,34,
,Afghanistan,33,65,30-03-2020,170,AFG,142,34,
,Afghanistan,33,65,29-03-2020,120,AFG,142,34,
,Afghanistan,33,65,28-03-2020,110,AFG,142,34,
,Afghanistan,33,65,27-03-2020,110,AFG,142,34,
,Afghanistan,33,65,26-03-2020,94,AFG,142,34,
,Afghanistan,33,65,25-03-2020,84,AFG,142,34,
,Afghanistan,33,65,24-03-2020,74,AFG,142,34,
,Afghanistan,33,65,23-03-2020,40,AFG,142,34,
,Afghanistan,33,65,22-03-2020,40,AFG,142,34,
,Afghanistan,33,65,21-03-2020,24,AFG,142,34,
,Afghanistan,33,65,20-03-2020,24,AFG,142,34,
,Afghanistan,33,65,19-03-2020,22,AFG,142,34,
,Afghanistan,33,65,18-03-2020,22,AFG,142,34,
,Afghanistan,33,65,17-03-2020,22,AFG,142,34,
,Afghanistan,33,65,16-03-2020,21,AFG,142,34,
,Afghanistan,33,65,15-03-2020,16,AFG,142,34,
,Afghanistan,33,65,14-03-2020,11,AFG,142,34,
,Afghanistan,33,65,13-03-2020,7,AFG,142,34,
,Afghanistan,33,65,12-03-2020,7,AFG,142,34,
,Afghanistan,33,65,11-03-2020,7,AFG,142,34,
,Afghanistan,33,65,10-03-2020,5,AFG,142,34,
,Afghanistan,33,65,09-03-2020,4,AFG,142,34,
,Afghanistan,33,65,08-03-2020,4,AFG,142,34,
,Afghanistan,33,65,07-03-2020,1,AFG,142,34,
,Afghanistan,33,65,06-03-2020,1,AFG,142,34,
,Afghanistan,33,65,05-03-2020,1,AFG,142,34,
,Afghanistan,33,65,04-03-2020,1,AFG,142,34,
,Afghanistan,33,65,03-03-2020,1,AFG,142,34,
,Afghanistan,33,65,02-03-2020,1,AFG,142,34,
,Afghanistan,33,65,01-03-2020,1,AFG,142,34,
,Afghanistan,33,65,29-02-2020,1,AFG,142,34,
,Afghanistan,33,65,28-02-2020,1,AFG,142,34,
,Afghanistan,33,65,27-02-2020,1,AFG,142,34,
,Afghanistan,33,65,26-02-2020,1,AFG,142,34,
,Afghanistan,33,65,25-02-2020,1,AFG,142,34,
,Afghanistan,33,65,24-02-2020,1,AFG,142,34,
,Afghanistan,33,65,23-02-2020,0,AFG,142,34,
,Afghanistan,33,65,22-02-2020,0,AFG,142,34,
,Afghanistan,33,65,21-02-2020,0,AFG,142,34,
,Afghanistan,33,65,20-02-2020,0,AFG,142,34,
,Afghanistan,33,65,19-02-2020,0,AFG,142,34,
,Afghanistan,33,65,18-02-2020,0,AFG,142,34,
,Afghanistan,33,65,17-02-2020,0,AFG,142,34,
,Afghanistan,33,65,16-02-2020,0,AFG,142,34,
,Afghanistan,33,65,15-02-2020,0,AFG,142,34,
,Afghanistan,33,65,14-02-2020,0,AFG,142,34,
,Afghanistan,33,65,13-02-2020,0,AFG,142,34,
,Afghanistan,33,65,12-02-2020,0,AFG,142,34,
,Afghanistan,33,65,11-02-2020,0,AFG,142,34,
,Afghanistan,33,65,10-02-2020,0,AFG,142,34,
,Afghanistan,33,65,09-02-2020,0,AFG,142,34,
,Afghanistan,33,65,08-02-2020,0,AFG,142,34,
,Afghanistan,33,65,07-02-2020,0,AFG,142,34,
,Afghanistan,33,65,06-02-2020,0,AFG,142,34,
,Afghanistan,33,65,05-02-2020,0,AFG,142,34,
,Afghanistan,33,65,04-02-2020,0,AFG,142,34,
,Afghanistan,33,65,03-02-2020,0,AFG,142,34,
,Afghanistan,33,65,02-02-2020,0,AFG,142,34,
,Afghanistan,33,65,01-02-2020,0,AFG,142,34,
,Afghanistan,33,65,31-01-2020,0,AFG,142,34,
,Afghanistan,33,65,30-01-2020,0,AFG,142,34,
,Afghanistan,33,65,29-01-2020,0,AFG,142,34,
,Afghanistan,33,65,28-01-2020,0,AFG,142,34,
,Afghanistan,33,65,27-01-2020,0,AFG,142,34,
,Afghanistan,33,65,26-01-2020,0,AFG,142,34,
,Afghanistan,33,65,25-01-2020,0,AFG,142,34,
,Afghanistan,33,65,24-01-2020,0,AFG,142,34,
,Afghanistan,33,65,23-01-2020,0,AFG,142,34,
,Afghanistan,33,65,22-01-2020,0,AFG,142,34,
,Albania,41.1533,20.1683,15-05-2020,916,ALB,150,39,
,Albania,41.1533,20.1683,14-05-2020,898,ALB,150,39,
,Albania,41.1533,20.1683,13-05-2020,880,ALB,150,39,
,Albania,41.1533,20.1683,12-05-2020,876,ALB,150,39,
,Albania,41.1533,20.1683,11-05-2020,872,ALB,150,39,
,Albania,41.1533,20.1683,10-05-2020,868,ALB,150,39,
,Albania,41.1533,20.1683,09-05-2020,856,ALB,150,39,
,Albania,41.1533,20.1683,08-05-2020,850,ALB,150,39,
,Albania,41.1533,20.1683,07-05-2020,842,ALB,150,39,
,Albania,41.1533,20.1683,06-05-2020,832,ALB,150,39,
,Albania,41.1533,20.1683,05-05-2020,820,ALB,150,39,
,Albania,41.1533,20.1683,04-05-2020,803,ALB,150,39,
,Albania,41.1533,20.1683,03-05-2020,795,ALB,150,39,
,Albania,41.1533,20.1683,02-05-2020,789,ALB,150,39,
,Albania,41.1533,20.1683,01-05-2020,782,ALB,150,39,
,Albania,41.1533,20.1683,30-04-2020,773,ALB,150,39,
,Albania,41.1533,20.1683,29-04-2020,766,ALB,150,39,
,Albania,41.1533,20.1683,28-04-2020,750,ALB,150,39,
,Albania,41.1533,20.1683,27-04-2020,736,ALB,150,39,
,Albania,41.1533,20.1683,26-04-2020,726,ALB,150,39,
,Albania,41.1533,20.1683,25-04-2020,712,ALB,150,39,
,Albania,41.1533,20.1683,24-04-2020,678,ALB,150,39,
,Albania,41.1533,20.1683,23-04-2020,663,ALB,150,39,
,Albania,41.1533,20.1683,22-04-2020,634,ALB,150,39,
,Albania,41.1533,20.1683,21-04-2020,609,ALB,150,39,
,Albania,41.1533,20.1683,20-04-2020,584,ALB,150,39,
,Albania,41.1533,20.1683,19-04-2020,562,ALB,150,39,
,Albania,41.1533,20.1683,18-04-2020,548,ALB,150,39,
,Albania,41.1533,20.1683,17-04-2020,539,ALB,150,39,
,Albania,41.1533,20.1683,16-04-2020,518,ALB,150,39,
,Albania,41.1533,20.1683,15-04-2020,494,ALB,150,39,
